datetime,pressure,temp,pressure_atmo,temp_atmo,wl_corr,wl_final,Q_mid,Q_low,Q_high
2025-08-02T06:00:00+00:00,722.525,1.383,661.975,8.673,60.54999999999996,74.77949999999998,1.9083020630230427,1.3358114441161297,2.4807926819299557
2025-08-02T07:00:00+00:00,735.533,1.417,661.275,9.313,74.25800000000004,88.48750000000007,3.2006734527865373,2.2404714169505757,4.160875488622499
2025-08-02T08:00:00+00:00,729.758,1.43,661.683,9.413,68.07500000000005,82.30450000000008,2.568207398787778,1.7977451791514445,3.3386696184241114
2025-08-02T09:00:00+00:00,731.158,1.43,661.567,9.43,69.59100000000001,83.82050000000004,2.7155762673975103,1.900903387178257,3.5302491476167637
2025-08-02T10:00:00+00:00,726.375,1.33,661.858,10.007,64.51700000000005,78.74650000000008,2.2415303005125438,1.5690712103587805,2.913989390666307
2025-08-02T11:00:00+00:00,731.158,1.283,662.558,9.337,68.60000000000002,82.82950000000005,2.6186833314243136,1.8330783319970194,3.4042883308516076
2025-08-02T12:00:00+00:00,725.908,1.237,663.142,9.257,62.76599999999996,76.99549999999999,2.090473366923939,1.4633313568467572,2.717615377001121
2025-08-02T13:00:00+00:00,723.925,1.173,662.733,9.28,61.19200000000001,75.42150000000004,1.9600538918799404,1.3720377243159583,2.5480700594439227
2025-08-02T14:00:00+00:00,722.117,1.11,663.433,9.297,58.68399999999997,72.9135,1.762577308965027,1.233804116275519,2.2913505016545352
2025-08-02T15:00:00+00:00,720.833,0.993,664.308,9.017,56.52499999999998,70.75450000000001,1.6025709089232563,1.1217996362462792,2.083342181600233
2025-08-02T16:00:00+00:00,719.025,0.883,664.192,8.46,54.83299999999997,69.0625,1.483514808672671,1.0384603660708698,1.9285692512744723
2025-08-02T17:00:00+00:00,717.742,0.8,663.725,8.303,54.01699999999994,68.24649999999997,1.4280609135758244,0.9996426395030771,1.8564791876485718
2025-08-02T18:00:00+00:00,716.75,0.72,663.725,7.953,53.02499999999998,67.25450000000001,1.362348173468649,0.9536437214280542,1.7710526255092436
2025-08-02T19:00:00+00:00,716.342,0.673,663.317,7.72,53.02499999999998,67.25450000000001,1.362348173468649,0.9536437214280542,1.7710526255092436
2025-08-02T20:00:00+00:00,715.758,0.627,663.025,7.4,52.73300000000006,66.96250000000009,1.3433586905152375,0.9403510833606662,1.7463662976698089
2025-08-02T21:00:00+00:00,715.758,0.603,662.558,7.14,53.200000000000045,67.42950000000008,1.3738056830029237,0.9616639781020465,1.7859473879038008
2025-08-02T22:00:00+00:00,715.875,0.557,663.025,6.657,52.85000000000002,67.07950000000005,1.35094826422141,0.9456637849549868,1.7562327434878329
2025-08-02T23:00:00+00:00,715.467,0.51,662.85,6.553,52.61699999999996,66.84649999999999,1.335859330708876,0.9351015314962131,1.7366171299215387
2025-08-03T00:00:00+00:00,715.583,0.47,662.85,6.03,52.73299999999995,66.96249999999998,1.3433586905152302,0.9403510833606611,1.7463662976697993
2025-08-03T01:00:00+00:00,716.05,0.43,662.85,5.877,53.19999999999993,67.42949999999996,1.3738056830029164,0.9616639781020414,1.7859473879037913
2025-08-03T02:00:00+00:00,716.167,0.47,663.025,6.21,53.14200000000005,67.37150000000008,1.3700019493439397,0.9590013645407577,1.7810025341471216
2025-08-03T03:00:00+00:00,716.05,0.783,663.142,6.29,52.9079999999999,67.13749999999993,1.3547201442196766,0.9483041009537735,1.7611361874855795
2025-08-03T04:00:00+00:00,715.875,1.307,663.317,6.72,52.55799999999999,66.78750000000002,1.3320546743519315,0.932438272046352,1.731671076657511
2025-08-03T05:00:00+00:00,724.1,1.337,662.85,7.407,61.25,75.47950000000003,1.9647703093610696,1.3753392165527487,2.5542014021693906
2025-08-03T06:00:00+00:00,734.25,1.377,662.558,8.093,71.69200000000001,85.92150000000004,2.9280365988388164,2.0496256191871716,3.8064475784904612
2025-08-03T07:00:00+00:00,737.925,1.353,662.558,8.507,75.36699999999996,89.59649999999999,3.3230419709913543,2.3261293796939477,4.3199545622887605
2025-08-03T08:00:00+00:00,737.692,1.323,662.442,9.72,75.25,89.47950000000003,3.3100017597271023,2.3170012318089714,4.303002287645233
2025-08-03T09:00:00+00:00,730.167,1.393,662.267,10.703,67.89999999999998,82.12950000000001,2.551513107255892,1.7860591750791244,3.31696703943266
2025-08-03T10:00:00+00:00,728.767,1.463,662.85,11.28,65.91700000000003,80.14650000000006,2.3668890727464325,1.6568223509225026,3.0769557945703623
2025-08-03T11:00:00+00:00,726.783,1.517,663.025,11.337,63.75800000000004,77.98750000000007,2.1752745519444363,1.5226921863611054,2.8278569175277672
2025-08-03T12:00:00+00:00,724.8,1.43,664.017,10.96,60.7829999999999,75.01249999999993,1.926988114955013,1.348891680468509,2.505084549441517
2025-08-03T13:00:00+00:00,723.517,1.267,664.6,10.867,58.91700000000003,73.14650000000006,1.7803942049500288,1.2462759434650201,2.3145124664350374
2025-08-03T14:00:00+00:00,722.408,1.133,664.775,10.767,57.63300000000004,71.86250000000007,1.683543624163862,1.1784805369147033,2.1886067114130205
2025-08-03T15:00:00+00:00,720.833,1.0,665.067,10.553,55.76599999999996,69.99549999999999,1.5484815395460807,1.0839370776822563,2.013026001409905
2025-08-03T16:00:00+00:00,720.542,0.893,665.067,9.837,55.47500000000002,69.70450000000005,1.5280389968487726,1.0696272977941408,1.9864506959034045
2025-08-03T17:00:00+00:00,719.433,0.807,664.775,9.54,54.658000000000015,68.88750000000005,1.4715151363110022,1.0300605954177016,1.9129696772043028
2025-08-03T18:00:00+00:00,718.733,0.737,664.892,9.133,53.84099999999989,68.07049999999992,1.4162663592745721,0.9913864514922004,1.8411462670569438
2025-08-03T19:00:00+00:00,717.742,0.673,664.192,8.68,53.54999999999996,67.77949999999998,1.3968938920532132,0.9778257244372492,1.8159620596691772
2025-08-03T20:00:00+00:00,717.45,0.62,663.725,8.377,53.72500000000002,67.95450000000005,1.4085247857286556,0.9859673500100589,1.8310822214472524
2025-08-03T21:00:00+00:00,717.45,0.58,663.608,7.96,53.8420000000001,68.07150000000013,1.4163332078296653,0.9914332454807656,1.841233170178565
2025-08-03T22:00:00+00:00,717.042,0.563,663.725,7.65,53.31700000000001,67.54650000000004,1.3814980230776095,0.9670486161543266,1.7959474300008924
